Nouns DAO Name,Treasury ,,NFT Vault,,FT Vault,,Proposal,,Voter,,Followers,,Status
"NounsDAO
Creator DAO","$ 55.0M
-1.00% (24H)","$ 55.0M
-1.00% (24H) TreasuryNounsDAO
Creator DAO",$ 367.0K,"$ 367.0K NFT Vault NounsDAO
Creator DAO",$ 54.6M,"$ 54.6M FT Vault NounsDAO
Creator DAO",296,296 Proposal,572,572 Voter,81.1K,81.1K Followers,Unverifed
"Lil Nouns
Creator DAO","$ 1.3M
0.17% (24H)","$ 1.3M
0.17% (24H) TreasuryLil Nouns
Creator DAO",$ 839.9K,"$ 839.9K NFT Vault Lil Nouns
Creator DAO",$ 495.2K,"$ 495.2K FT Vault Lil Nouns
Creator DAO",228,228 Proposal,696,696 Voter,7.4K,7.4K Followers,Unverifed
"Builder
Creator DAO","$ 1.1M
0.18% (24H)","$ 1.1M
0.18% (24H) TreasuryBuilder
Creator DAO",$649.70,"649.7 NFT Vault Builder
Creator DAO",$ 1.1M,"$ 1.1M FT Vault Builder
Creator DAO",54,54 Proposal,90,90 Voter,N/A,N/A Followers,Unverifed
"SharkDAO
Collector DAO","$ 405.9K
0.17% (24H)","$ 405.9K
0.17% (24H) TreasurySharkDAO
Collector DAO",$ 317.8K,"$ 317.8K NFT Vault SharkDAO
Collector DAO",$ 88.1K,"$ 88.1K FT Vault SharkDAO
Collector DAO",384,384 Proposal,657,657 Voter,8.5K,8.5K Followers,Unverifed
"Public Nouns
Creator DAO","$ 322.2K
0.18% (24H)","$ 322.2K
0.18% (24H) TreasuryPublic Nouns
Creator DAO",N/A,"N/A NFT Vault Public Nouns
Creator DAO",$ 322.2K,"$ 322.2K FT Vault Public Nouns
Creator DAO",17,17 Proposal,66,66 Voter,788,788 Followers,Unverifed
"Entropy
Creator DAO","$ 141.4K
0.18% (24H)","$ 141.4K
0.18% (24H) TreasuryEntropy
Creator DAO",N/A,"""&"" ""&A3""$ 78.5K NFT Vault GnarsDAO
Creator DAO""",$ 141.4K,"$ 141.4K FT Vault Entropy
Creator DAO",7,7 Proposal,28,28 Voter,114.0K,114.0K Followers,Unverifed
"GnarsDAO
Creator DAO","$ 88.8K
0.18% (24H)","$ 88.8K
0.18% (24H) TreasuryGnarsDAO
Creator DAO",$ 78.5K,"$ 78.5K NFT Vault GnarsDAO
Creator DAO",$ 10.3K,"$ 10.3K FT Vault GnarsDAO
Creator DAO",90,90 Proposal,266,266 Voter,4.8K,4.8K Followers,Unverifed
"Art Haus
Creator DAO","$ 59.1K
0.18% (24H)","$ 59.1K
0.18% (24H) TreasuryArt Haus
Creator DAO",N/A,"N/A NFT Vault Art Haus
Creator DAO",$ 59.1K,"$ 59.1K FT Vault Art Haus
Creator DAO",7,7 Proposal,7,7 Voter,18.2K,18.2K Followers,Unverifed
"the park dao
Creator DAO","$ 45.1K
0.18% (24H)","$ 45.1K
0.18% (24H) Treasurythe park dao
Creator DAO",$514.00,"514 NFT Vault the park dao
Creator DAO",$ 44.6K,"$ 44.6K FT Vault the park dao
Creator DAO",34,34 Proposal,34,34 Voter,5.9K,5.9K Followers,Unverifed
"The Panama DAO
Creator DAO","$ 42.1K
0.18% (24H)","$ 42.1K
0.18% (24H) TreasuryThe Panama DAO
Creator DAO",$106.70,"106.7 NFT Vault The Panama DAO
Creator DAO",$ 42.0K,"$ 42.0K FT Vault The Panama DAO
Creator DAO",4,4 Proposal,3,3 Voter,N/A,N/A Followers,Unverifed
